mineral,Vac,Al,B,Ba,Ca,Cs,Fe3+,K,Mg,Mn2+,Na,O,Rb,Si,Sr,Ti4+,Sum,a,b,c,alpha,beta,gamma,V,crystal system,space group,reference
Orthoclase,0.02,0.96,0,0,0,0,0.02,0.96,0,0,0,8,0,3.03,0,0,12.99,8.6,12.9978,7.2004,90,116.049,90,723.109,monoclinic,,R040055
Orthoclase,0,1.005,0,0.01,0.01,0,0,0.88,0,0,0.1,8,0,2.995,0,0,13,8.563,12.99,7.21,90,115.93,90,721.255,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Orthoclase,0,1,0,0,0,0,0,1,0,0,0,8,0,3,0,0,13,8.554,12.97,7.207,90,116.01,90,718.6,monoclinic,C2/m,American Mineralogist 53 (1968) 25-37
Orthoclase,0,1,0,0,0,0,0,1,0,0,0,8,0,3,0,0,13,8.561,12.996,7.192,90,116.01,90,719.129,monoclinic,C2/m,American Mineralogist 53 (1968) 25-37
Orthoclase,0,1,0,0,0,0,0,1,0,0,0,8,0,3,0,0,13,8.578,12.978,7.204,90,116.02,90,720.699,monoclinic,C2/m,Dissertation Kernforshungszentrum Karlsruhe 1 (1985) 1-97
Orthoclase,0,1,0,0,0,0,0,0.92,0,0,0.08,8,0,3,0,0,13,8.5739,12.9874,7.2018,90,116.042,90,720.521,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614
Orthoclase,0,1,0,0,0,0,0,0.92,0,0,0.08,8,0,3,0,0,13,8.5752,12.986,7.2013,90,116.023,90,720.619,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614
Orthoclase,0,1,0,0,0,0,0,0.92,0,0,0.08,8,0,3,0,0,13,8.575,12.984,7.2008,90,116.028,90,720.41,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614
Orthoclase,0,1,0,0,0,0,0,1,0,0,0,8,0,3,0,0,13,8.6,13.005,7.193,90,116.03,90,722.883,monoclinic,C2/m,"Neues Jahrbuch fur Mineralogie, Abhandlungen 171 (1996) 199-213"
Orthoclase,0,1,0,0,0,0,0,0.96,0,0,0.04,8,0,3,0,0,13,8.585,12.991,7.2006,90,116.035,90,721.576,monoclinic,,R050185
